Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ABW,buildings,residential-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,30436.708011013503,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,34190.73601237189,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,30797.97601114422,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,38707.12001400613,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,43428.92001571471,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,38237.14001383608,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,36847.77203999999,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,38239.18000000001,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,38993.49599999999,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,38993.49599999999,,annual,,
ABW,buildings,residential-onsite-fuel-usage,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,9748.374,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1174476.2085921874,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,991197.1584997756,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,879281.410443346,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,989746.2844990438,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,870117.7654387254,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,879187.7724432987,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,914096.65852,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,924862.4983400002,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,942464.07835,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,942464.0778499998,,annual,,
AFG,buildings,residential-onsite-fuel-usage,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,344162.4673499999,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,4805268.589682771,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,4279991.6683895085,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,3458713.973930992,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,3199989.8587865457,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,3654442.010040266,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2976991.308662048,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,3113241.99888,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,2908473.01869,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,2992228.51944,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,2992228.51944,,annual,,
AGO,buildings,residential-onsite-fuel-usage,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,732260.1117599997,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,987.832015283024,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1024.8960158564516,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1040.4640160973083,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,891.2000137880036,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,886.3720137133079,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,883.948013675806,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,861.8120400000001,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,904.092,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,939.876,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,939.876,,annual,,
AIA,buildings,residential-onsite-fuel-usage,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,234.969,,annual,,
