Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ABW,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,924360.0,,annual,,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1330700.0,,annual,,
ABW,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,1330700.0,,annual,,
ABW,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,1334300.0,,annual,,
ABW,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,328099.99999999994,,annual,,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,42039.0,,annual,,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,51509.0,,annual,,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,51380.0,,annual,,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,67728.0,,annual,,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,84075.0,,annual,,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,86628.0,,annual,,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,84075.0,,annual,,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,84075.0,,annual,,
AFG,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,84075.0,,annual,,
AFG,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,84287.0,,annual,,
AFG,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,19245.0,,annual,,
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,6634771.0,,annual,,
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,6815187.0,,annual,,
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,4575500.0,,annual,,
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,3964458.0,,annual,,
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,4458222.0,,annual,,
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,4269965.0,,annual,,
AGO,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,4321027.0,,annual,,
AGO,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,4442188.0,,annual,,
AGO,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,4442188.0,,annual,,
AGO,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,4454825.0,,annual,,
AGO,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,1133469.0,,annual,,
AIA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,96138.0,,annual,,
AIA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,96401.0,,annual,,
AIA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,96138.0,,annual,,
AIA,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,96138.0,,annual,,
AIA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,96138.0,,annual,,
