iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,230102.2800510825,,annual,,
ABW,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,240808.054303967,,annual,,
ABW,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,223432.66091627465,,annual,,
ABW,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,226341.33887061285,,annual,,
ABW,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,268031.11891549244,,annual,,
ABW,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,232923.38276163317,,annual,,
ABW,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ABW,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AFG,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2236104.801761894,,annual,,
AFG,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2207671.390601507,,annual,,
AFG,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,2337879.6569712693,,annual,,
AFG,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,2142364.348858392,,annual,,
AFG,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,1933871.2510208895,,annual,,
AFG,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,1755933.542952782,,annual,,
AFG,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,1867786.756054645,,annual,,
AFG,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1941237.1941349148,,annual,,
