Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ABW,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ABW,transportation,domestic-aviation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,53975.25135214449,,annual,,
AFG,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,55922.9367264294,,annual,,
AFG,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,76126.09779600994,,annual,,
AFG,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,76063.7456630055,,annual,,
AFG,transportation,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,74939.86824731537,,annual,,
AFG,transportation,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,74432.04851854681,,annual,,
AFG,transportation,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,77575.06108295707,,annual,,
