iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,96035.36624542333,,annual,,
ABW,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,88541.82493626732,,annual,,
ABW,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,131099.40415033387,,annual,,
ABW,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,118582.14327705443,,annual,,
ABW,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,101504.0682541609,,annual,,
ABW,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,148405.71960657107,,annual,,
ABW,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,241052.62879963897,,annual,,
ABW,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,95033.119105047,,annual,,
ABW,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,74947.017953751,,annual,,
ABW,transportation,domestic-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,92783.184519628,,annual,,
ABW,transportation,domestic-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,35856.657733935994,,annual,,
AFG,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
AFG,transportation,domestic-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
AGO,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,751338.0508562905,,annual,,
AGO,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,847463.438135043,,annual,,
AGO,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,866924.711135512,,annual,,
AGO,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,869410.8290444493,,annual,,
AGO,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,911018.5403494992,,annual,,
AGO,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,1006768.4771686436,,annual,,
AGO,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,954704.155074796,,annual,,
AGO,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,905885.3702938516,,annual,,
AGO,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,969448.3095287568,,annual,,
AGO,transportation,domestic-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,1025813.474823868,,annual,,
AGO,transportation,domestic-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,191760.75538921752,,annual,,
